站点代码,数据时间,气温,气压,相对湿度,风向,风速,降雨量,能见度
58015,20210520052030,13.8,1025.3,23,146,0.3,1.2,10072.4
58102,20210520052030,14.0,1001.1,82,210,12.8,0.3,10006.5
58118,20210520052030,26.2,1001.1,19,279,1.3,0.6,10472.4
58122,20210520052030,6.7,1007.2,84,196,10.1,1.4,10117.7
58203,20210520052030,2.1,1025.1,41,231,4.9,0.6,10391.5
58215,20210520052030,26.8,1003.1,92,164,7.4,0.4,10394.4
58221,20210520052030,26.3,1001.9,20,334,5.0,0.1,10380.0
58225,20210520052030,9.5,1022.5,95,324,11.0,0.5,10395.1
58236,20210520052030,22.9,1011.7,29,311,2.3,0.8,10220.4
58311,20210520052030,23.8,1024.9,53,199,10.0,1.5,10010.2
58314,20210520052030,12.2,1020.4,30,302,0.8,0.8,10331.8
58319,20210520052030,4.5,1005.9,22,347,8.7,0.3,10244.8
58321,20210520052030,10.7,1014.3,17,10,9.7,0.9,10403.9
58326,20210520052030,16.5,1003.2,85,356,5.4,0.0,10180.6
58336,20210520052030,13.3,1007.5,51,73,10.4,0.0,10105.0
58338,20210520052030,32.0,1003.7,24,156,7.2,0.4,10305.7
58414,20210520052030,25.5,1013.0,19,56,11.5,0.7,10389.4
58419,20210520052030,28.4,1022.1,81,294,10.5,0.5,10496.8
58424,20210520052030,31.8,1003.5,59,306,4.1,1.3,10113.2
58429,20210520052030,7.3,1022.6,68,220,7.3,0.6,10091.6
58436,20210520052030,5.3,1009.7,44,146,0.4,1.4,10266.0
58437,20210520052030,23.7,1015.1,34,332,8.7,0.1,10376.0
58520,20210520052030,13.8,1005.5,51,232,13.6,0.4,10368.3
58531,20210520052030,0.9,1001.2,70,224,6.0,0.8,10367.6
54406,20210520052030,5.4,1001.9,74,323,11.8,0.5,10413.7
54416,20210520052030,13.4,1006.1,9,182,8.2,0.5,10009.0
54511,20210520052030,28.6,1003.7,47,323,3.7,0.4,10134.8
58725,20210520052030,12.2,1013.6,38,282,12.6,0.3,10044.1
58730,20210520052030,33.9,1002.2,65,4,12.6,0.5,10107.5
58731,20210520052030,22.3,1024.8,3,97,8.9,1.4,10454.9
58734,20210520052030,24.4,1000.7,39,242,10.9,0.0,10115.8
58737,20210520052030,5.6,1018.7,26,42,8.9,0.7,10326.5
58744,20210520052030,7.5,1010.4,4,295,7.1,1.5,10405.6
58754,20210520052030,23.4,1014.9,89,52,11.7,0.2,10335.4
58818,20210520052030,16.3,1014.2,74,2,0.4,1.5,10273.9
58820,20210520052030,13.5,1000.0,36,64,8.2,1.2,10265.1
58834,20210520052030,29.5,1015.0,15,152,9.9,0.6,10365.5
58837,20210520052030,33.9,1000.4,29,211,10.0,0.8,10488.4
58843,20210520052030,18.6,1009.5,78,311,11.2,0.2,10481.9
58846,20210520052030,25.3,1010.0,91,206,1.7,0.9,10464.1
58847,20210520052030,18.8,1014.5,41,15,1.5,0.7,10235.6
58911,20210520052030,26.9,1005.7,69,210,11.8,1.2,10204.1
58918,20210520052030,29.7,1002.6,77,31,2.6,0.1,10146.1
58921,20210520052030,29.2,1010.2,88,111,12.5,0.6,10221.7
58926,20210520052030,34.4,1013.2,1,316,4.9,1.3,10275.1
58927,20210520052030,13.2,1004.3,45,14,12.7,1.2,10264.9
58931,20210520052030,22.7,1013.5,38,216,7.8,0.1,10087.5
58933,20210520052030,23.4,1007.1,34,346,3.0,1.3,10109.5
58936,20210520052030,13.2,1000.8,61,162,6.2,1.2,10128.2
58944,20210520052030,8.2,1024.3,23,79,10.3,0.6,10168.1
59113,20210520052030,16.1,1010.5,42,18,9.2,1.0,10311.2
59126,20210520052030,0.2,1003.0,7,56,1.6,1.5,10453.1
59133,20210520052030,25.5,1013.2,86,216,6.5,1.3,10409.2
59134,20210520052030,0.2,1020.5,10,210,11.1,0.3,10185.0
59321,20210520052030,34.1,1018.0,87,159,13.2,1.1,10070.2
52323,20210520052030,2.4,1017.7,24,125,5.2,1.3,10163.7
52418,20210520052030,0.0,1025.6,98,228,13.3,1.4,10368.8
52424,20210520052030,22.9,1000.2,36,139,8.4,0.8,10371.2
52436,20210520052030,28.3,1020.2,91,184,7.9,0.4,10284.6
52446,20210520052030,7.7,1020.0,45,137,1.2,1.1,10281.5
52447,20210520052030,16.7,1010.6,57,275,2.4,0.5,10029.7
52533,20210520052030,23.8,1008.2,85,168,1.6,0.3,10368.2
52546,20210520052030,26.3,1013.0,9,130,9.4,1.4,10212.4
52652,20210520052030,29.4,1015.8,82,198,13.3,0.1,10356.0
52661,20210520052030,27.5,1017.0,10,74,14.6,0.2,10101.0
52674,20210520052030,25.1,1008.1,10,19,10.9,0.1,10467.1
52679,20210520052030,10.1,1019.4,80,308,3.1,0.0,10221.5
52681,20210520052030,32.7,1019.5,46,313,11.9,0.3,10271.9
52787,20210520052030,4.0,1001.9,19,224,0.1,0.4,10266.2
52797,20210520052030,4.0,1022.3,72,219,11.9,0.4,10264.9
52884,20210520052030,22.0,1025.5,92,338,8.9,1.0,10404.8
52895,20210520052030,0.4,1013.5,18,350,5.1,1.5,10061.8
52983,20210520052030,17.7,1018.4,96,316,10.0,0.5,10282.9
52984,20210520052030,12.0,1002.0,51,151,4.3,0.6,10015.3
52986,20210520052030,17.8,1017.4,27,45,3.0,0.5,10234.5
52996,20210520052030,27.3,1005.9,43,186,10.2,1.1,10049.7
53821,20210520052030,8.8,1007.4,100,157,2.0,1.4,10064.8
53915,20210520052030,11.5,1020.2,39,35,10.9,0.4,10318.3
53923,20210520052030,30.0,1004.7,2,98,6.9,1.5,10432.8
56074,20210520052030,5.2,1018.1,20,262,8.8,1.3,10203.3
56080,20210520052030,10.4,1017.5,17,57,4.7,0.0,10467.6
56093,20210520052030,21.2,1021.4,32,210,7.8,0.5,10114.6
56096,20210520052030,5.3,1014.5,45,333,2.2,0.5,10436.5
57014,20210520052030,9.4,1019.0,27,182,2.3,1.3,10312.8
57996,20210520052030,25.6,1020.8,38,315,13.1,1.4,10133.2
59072,20210520052030,21.8,1023.9,79,349,14.0,0.2,10170.7
59082,20210520052030,9.7,1001.6,10,31,9.3,1.3,10451.0
59087,20210520052030,3.8,1012.3,68,319,13.0,0.9,10285.2
59088,20210520052030,9.0,1017.5,24,167,5.3,0.8,10057.5
59096,20210520052030,14.6,1019.8,28,346,14.4,0.1,10111.7
59097,20210520052030,26.2,1022.1,61,8,0.5,1.3,10173.2
59107,20210520052030,5.6,1017.0,28,146,2.8,1.4,10491.8
59116,20210520052030,10.4,1004.1,33,183,3.6,1.1,10046.4
59117,20210520052030,23.2,1011.4,6,340,9.0,0.8,10103.8
59271,20210520052030,24.3,1003.8,16,143,11.5,0.7,10011.0
59278,20210520052030,24.9,1007.6,55,188,12.3,0.9,10013.4
59280,20210520052030,14.6,1014.7,14,203,6.9,0.9,10154.2
59287,20210520052030,17.5,1010.7,10,261,7.1,0.2,10127.7
59289,20210520052030,30.8,1000.2,82,208,9.6,0.0,10059.1
59293,20210520052030,21.2,1009.0,8,353,2.1,1.3,10389.9
59294,20210520052030,26.9,1013.8,41,280,7.0,1.3,10063.1
59298,20210520052030,33.5,1013.0,44,131,0.4,0.8,10388.1
59303,20210520052030,14.8,1021.6,87,139,12.3,1.1,10288.3
59304,20210520052030,17.1,1010.0,64,122,9.0,0.2,10366.8
59306,20210520052030,15.2,1021.6,74,241,7.6,0.5,10316.2
59310,20210520052030,6.6,1010.9,30,210,7.1,0.4,10095.9
59316,20210520052030,12.1,1001.2,47,294,5.0,0.0,10167.6
59317,20210520052030,25.1,1005.0,38,295,1.5,0.0,10127.0
59324,20210520052030,25.4,1018.7,98,352,5.3,0.6,10401.0
59456,20210520052030,7.4,1004.2,99,21,0.6,0.0,10222.3
59462,20210520052030,23.8,1022.0,66,348,7.9,0.3,10230.1
59478,20210520052030,24.9,1023.3,60,303,4.5,0.8,10197.3
59485,20210520052030,21.1,1004.8,80,249,12.0,0.4,10028.4
